annotation_id,annotator,created_at,id,lead_time,sentiment,source,text,updated_at
1,1,2026-06-22T09:00:00Z,1,1.0,"{""choices"": [""售前商品咨询"", ""售后退换货""]}",电商平台,这款手机有什么颜色可选,2026-06-22T09:00:00Z
2,1,2026-06-22T09:00:00Z,2,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,这个冰箱的尺寸是多少,2026-06-22T09:00:00Z
3,1,2026-06-22T09:00:00Z,3,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,有没有适合学生用的笔记本电脑推荐,2026-06-22T09:00:00Z
4,1,2026-06-22T09:00:00Z,4,1.0,"{""choices"": [""售前商品咨询"", ""售后退换货""]}",电商平台,这件衣服是什么面料的会不会起球,2026-06-22T09:00:00Z
5,1,2026-06-22T09:00:00Z,5,1.0,"{""choices"": [""售前商品咨询"", ""订单查询""]}",电商平台,现在下单什么时候能到货,2026-06-22T09:00:00Z
6,1,2026-06-22T09:00:00Z,6,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,这个耳机和那个音箱哪个性价比更高,2026-06-22T09:00:00Z
7,1,2026-06-22T09:00:00Z,7,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,支持七天无理由退换吗,2026-06-22T09:00:00Z
8,1,2026-06-22T09:00:00Z,8,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,你们店有没有实体店可以去试穿,2026-06-22T09:00:00Z
9,1,2026-06-22T09:00:00Z,9,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,最近有什么优惠活动吗有没有满减券,2026-06-22T09:00:00Z
10,1,2026-06-22T09:00:00Z,10,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,请问这款包包是真皮的吗质量怎么样,2026-06-22T09:00:00Z
11,1,2026-06-22T09:00:00Z,11,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,第一次买你们家产品这个能用多久,2026-06-22T09:00:00Z
12,1,2026-06-22T09:00:00Z,12,1.0,"{""choices"": [""售前商品咨询"", ""闲聊无关内容""]}",电商平台,可以货到付款吗支持哪些支付方式,2026-06-22T09:00:00Z
13,1,2026-06-22T09:00:00Z,13,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,给我看看实拍图不要精修的那种,2026-06-22T09:00:00Z
14,1,2026-06-22T09:00:00Z,14,1.0,"{""choices"": [""售前商品咨询"", ""闲聊无关内容""]}",电商平台,这个型号和去年的旧款有什么区别升级了哪些功能,2026-06-22T09:00:00Z
15,1,2026-06-22T09:00:00Z,15,1.0,"{""choices"": [""售前商品咨询"", ""物流查询""]}",电商平台,我想给老人买个好操作简单的手机有推荐吗,2026-06-22T09:00:00Z
16,1,2026-06-22T09:00:00Z,16,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,这款空调耗电量大吗能效等级是多少,2026-06-22T09:00:00Z
17,1,2026-06-22T09:00:00Z,17,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,保修期多长有没有延保服务,2026-06-22T09:00:00Z
18,1,2026-06-22T09:00:00Z,18,1.0,"{""choices"": [""售前商品咨询"", ""售后退换货""]}",电商平台,买两个有没有优惠可以打折吗,2026-06-22T09:00:00Z
19,1,2026-06-22T09:00:00Z,19,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,有没有赠品现在下单送什么,2026-06-22T09:00:00Z
20,1,2026-06-22T09:00:00Z,20,1.0,"{""choices"":[""售前商品咨询""]}",电商平台,能帮我对比一下这几款产品的优缺点吗,2026-06-22T09:00:00Z
21,1,2026-06-22T09:00:00Z,21,1.0,"{""choices"": [""订单查询"", ""售后退换货""]}",电商平台,我的订单现在是什么状态发货了吗,2026-06-22T09:00:00Z
22,1,2026-06-22T09:00:00Z,22,1.0,"{""choices"":[""订单查询""]}",电商平台,帮我查一下订单号20240624001,2026-06-22T09:00:00Z
23,1,2026-06-22T09:00:00Z,23,1.0,"{""choices"":[""订单查询""]}",电商平台,我昨天下单的怎么还没发货,2026-06-22T09:00:00Z
24,1,2026-06-22T09:00:00Z,24,1.0,"{""choices"":[""订单查询""]}",电商平台,订单详情在哪看我怎么找不到购买记录,2026-06-22T09:00:00Z
25,1,2026-06-22T09:00:00Z,25,1.0,"{""choices"":[""订单查询""]}",电商平台,我想修改一下收货地址还能改吗,2026-06-22T09:00:00Z
26,1,2026-06-22T09:00:00Z,26,1.0,"{""choices"": [""订单查询"", ""物流查询""]}",电商平台,下单成功了但没收到确认短信怎么回事,2026-06-22T09:00:00Z
27,1,2026-06-22T09:00:00Z,27,1.0,"{""choices"":[""订单查询""]}",电商平台,我买的商品总价怎么和下单时不一样了,2026-06-22T09:00:00Z
28,1,2026-06-22T09:00:00Z,28,1.0,"{""choices"": [""订单查询"", ""闲聊无关内容""]}",电商平台,帮我取消这个订单我不要了,2026-06-22T09:00:00Z
29,1,2026-06-22T09:00:00Z,29,1.0,"{""choices"": [""订单查询"", ""售前商品咨询""]}",电商平台,已经付款了为什么还显示待支付,2026-06-22T09:00:00Z
30,1,2026-06-22T09:00:00Z,30,1.0,"{""choices"": [""订单查询"", ""售后退换货""]}",电商平台,我买了三件怎么只收到两件的发货通知,2026-06-22T09:00:00Z
31,1,2026-06-22T09:00:00Z,31,1.0,"{""choices"":[""订单查询""]}",电商平台,能不能把订单拆开发货急用的那件先发,2026-06-22T09:00:00Z
32,1,2026-06-22T09:00:00Z,32,1.0,"{""choices"": [""订单查询"", ""投诉纠纷""]}",电商平台,比价发现别家更便宜我能申请价保吗,2026-06-22T09:00:00Z
33,1,2026-06-22T09:00:00Z,33,1.0,"{""choices"":[""订单查询""]}",电商平台,下单时选择了开发票怎么查看发票信息,2026-06-22T09:00:00Z
34,1,2026-06-22T09:00:00Z,34,1.0,"{""choices"":[""订单查询""]}",电商平台,订单显示已签收但我本人没收到,2026-06-22T09:00:00Z
35,1,2026-06-22T09:00:00Z,35,1.0,"{""choices"":[""订单查询""]}",电商平台,我可以用两个优惠券吗为什么不能叠加,2026-06-22T09:00:00Z
36,1,2026-06-22T09:00:00Z,36,1.0,"{""choices"": [""订单查询"", ""售前商品咨询""]}",电商平台,订单编号在哪里看我怎么发给朋友代付,2026-06-22T09:00:00Z
37,1,2026-06-22T09:00:00Z,37,1.0,"{""choices"":[""订单查询""]}",电商平台,昨天抢的限时特价订单现在没了我是不是被取消了,2026-06-22T09:00:00Z
38,1,2026-06-22T09:00:00Z,38,1.0,"{""choices"":[""订单查询""]}",电商平台,合并支付的两个订单为什么一个发货一个没发,2026-06-22T09:00:00Z
39,1,2026-06-22T09:00:00Z,39,1.0,"{""choices"":[""订单查询""]}",电商平台,这个订单能换成其他款式吗还没发货,2026-06-22T09:00:00Z
40,1,2026-06-22T09:00:00Z,40,1.0,"{""choices"":[""订单查询""]}",电商平台,重复下单了能帮我合并成一个订单吗,2026-06-22T09:00:00Z
41,1,2026-06-22T09:00:00Z,41,1.0,"{""choices"":[""物流查询""]}",电商平台,我的快递到哪了帮我查一下物流,2026-06-22T09:00:00Z
42,1,2026-06-22T09:00:00Z,42,1.0,"{""choices"":[""物流查询""]}",电商平台,显示派送中已经三天了怎么还没送到,2026-06-22T09:00:00Z
43,1,2026-06-22T09:00:00Z,43,1.0,"{""choices"":[""物流查询""]}",电商平台,发的什么快递快递单号是多少,2026-06-22T09:00:00Z
44,1,2026-06-22T09:00:00Z,44,1.0,"{""choices"": [""物流查询"", ""售后退换货""]}",电商平台,物流显示签收了但我没收到货是不是送错了,2026-06-22T09:00:00Z
45,1,2026-06-22T09:00:00Z,45,1.0,"{""choices"":[""物流查询""]}",电商平台,预计送达时间已经过了一天还没到,2026-06-22T09:00:00Z
46,1,2026-06-22T09:00:00Z,46,1.0,"{""choices"":[""物流查询""]}",电商平台,可以指定快递公司吗我想发顺丰,2026-06-22T09:00:00Z
47,1,2026-06-22T09:00:00Z,47,1.0,"{""choices"":[""物流查询""]}",电商平台,快递一直卡在中转站不动了怎么回事,2026-06-22T09:00:00Z
48,1,2026-06-22T09:00:00Z,48,1.0,"{""choices"":[""物流查询""]}",电商平台,你们发的是什么物流为什么查不到单号,2026-06-22T09:00:00Z
49,1,2026-06-22T09:00:00Z,49,1.0,"{""choices"":[""物流查询""]}",电商平台,快递员说联系不上我能不能重新安排派送,2026-06-22T09:00:00Z
50,1,2026-06-22T09:00:00Z,50,1.0,"{""choices"":[""物流查询""]}",电商平台,我这边地址改了快递能改送到新地址吗,2026-06-22T09:00:00Z
51,1,2026-06-22T09:00:00Z,51,1.0,"{""choices"":[""物流查询""]}",电商平台,显示在运输中但是已经五天了正常吗,2026-06-22T09:00:00Z
52,1,2026-06-22T09:00:00Z,52,1.0,"{""choices"":[""物流查询""]}",电商平台,急用这个件能加急配送吗加钱也行,2026-06-22T09:00:00Z
53,1,2026-06-22T09:00:00Z,53,1.0,"{""choices"":[""物流查询""]}",电商平台,快递在路上会不会被压坏包装牢固吗,2026-06-22T09:00:00Z
54,1,2026-06-22T09:00:00Z,54,1.0,"{""choices"": [""物流查询"", ""投诉纠纷""]}",电商平台,能不能给快递员打个电话帮我催一下,2026-06-22T09:00:00Z
55,1,2026-06-22T09:00:00Z,55,1.0,"{""choices"": [""物流查询"", ""投诉纠纷""]}",电商平台,东西显示已出库但是一直没物流更新,2026-06-22T09:00:00Z
56,1,2026-06-22T09:00:00Z,56,1.0,"{""choices"":[""物流查询""]}",电商平台,国庆期间物流正常派送吗会不会延迟,2026-06-22T09:00:00Z
