text,labels
这款手机有什么颜色可选,"['售前商品咨询', '售后退换货']"
这个冰箱的尺寸是多少,['售前商品咨询']
有没有适合学生用的笔记本电脑推荐,['售前商品咨询']
这件衣服是什么面料的会不会起球,"['售前商品咨询', '售后退换货']"
现在下单什么时候能到货,"['售前商品咨询', '订单查询']"
这个耳机和那个音箱哪个性价比更高,['售前商品咨询']
支持七天无理由退换吗,['售前商品咨询']
你们店有没有实体店可以去试穿,['售前商品咨询']
最近有什么优惠活动吗有没有满减券,['售前商品咨询']
请问这款包包是真皮的吗质量怎么样,['售前商品咨询']
第一次买你们家产品这个能用多久,['售前商品咨询']
可以货到付款吗支持哪些支付方式,"['售前商品咨询', '闲聊无关内容']"
给我看看实拍图不要精修的那种,['售前商品咨询']
这个型号和去年的旧款有什么区别升级了哪些功能,"['售前商品咨询', '闲聊无关内容']"
我想给老人买个好操作简单的手机有推荐吗,"['售前商品咨询', '物流查询']"
这款空调耗电量大吗能效等级是多少,['售前商品咨询']
保修期多长有没有延保服务,['售前商品咨询']
买两个有没有优惠可以打折吗,"['售前商品咨询', '售后退换货']"
有没有赠品现在下单送什么,['售前商品咨询']
能帮我对比一下这几款产品的优缺点吗,['售前商品咨询']
我的订单现在是什么状态发货了吗,"['订单查询', '售后退换货']"
帮我查一下订单号20240624001,['订单查询']
我昨天下单的怎么还没发货,['订单查询']
订单详情在哪看我怎么找不到购买记录,['订单查询']
我想修改一下收货地址还能改吗,['订单查询']
下单成功了但没收到确认短信怎么回事,"['订单查询', '物流查询']"
我买的商品总价怎么和下单时不一样了,['订单查询']
帮我取消这个订单我不要了,"['订单查询', '闲聊无关内容']"
已经付款了为什么还显示待支付,"['订单查询', '售前商品咨询']"
我买了三件怎么只收到两件的发货通知,"['订单查询', '售后退换货']"
能不能把订单拆开发货急用的那件先发,['订单查询']
比价发现别家更便宜我能申请价保吗,"['订单查询', '投诉纠纷']"
下单时选择了开发票怎么查看发票信息,['订单查询']
订单显示已签收但我本人没收到,['订单查询']
我可以用两个优惠券吗为什么不能叠加,['订单查询']
订单编号在哪里看我怎么发给朋友代付,"['订单查询', '售前商品咨询']"
昨天抢的限时特价订单现在没了我是不是被取消了,['订单查询']
合并支付的两个订单为什么一个发货一个没发,['订单查询']
这个订单能换成其他款式吗还没发货,['订单查询']
重复下单了能帮我合并成一个订单吗,['订单查询']
我的快递到哪了帮我查一下物流,['物流查询']
显示派送中已经三天了怎么还没送到,['物流查询']
发的什么快递快递单号是多少,['物流查询']
物流显示签收了但我没收到货是不是送错了,"['物流查询', '售后退换货']"
预计送达时间已经过了一天还没到,['物流查询']
可以指定快递公司吗我想发顺丰,['物流查询']
快递一直卡在中转站不动了怎么回事,['物流查询']
你们发的是什么物流为什么查不到单号,['物流查询']
快递员说联系不上我能不能重新安排派送,['物流查询']
我这边地址改了快递能改送到新地址吗,['物流查询']
显示在运输中但是已经五天了正常吗,['物流查询']
急用这个件能加急配送吗加钱也行,['物流查询']
快递在路上会不会被压坏包装牢固吗,['物流查询']
